04421,98136,9813620,ﾐﾔｷﾞｹﾝ,ｸﾛｶﾜｸﾞﾝﾀｲﾜﾁｮｳ,ｼｱﾜｾﾉﾓﾘ,宮城県,黒川郡大和町,しあわせの杜,0,0,0,0,1,3
08233,31117,3111706,ｲﾊﾞﾗｷｹﾝ,ﾅﾒｶﾞﾀｼ,ｷﾀｳﾗ,茨城県,行方市,北浦,0,0,0,0,1,5
09209,32143,3214317,ﾄﾁｷﾞｹﾝ,ﾓｵｶｼ,ﾅｶﾊｷﾞ,栃木県,真岡市,中萩,0,0,1,0,1,3
11242,35012,3501216,ｻｲﾀﾏｹﾝ,ﾋﾀﾞｶｼ,ﾑｻｼﾀｶﾊｷﾞ,埼玉県,日高市,武蔵高萩,0,0,1,0,1,3
13103,107,1076490,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー,0,0,0,0,1,5
13103,107,1076401,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ1ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー１階,0,0,0,0,1,5
13103,107,1076402,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ2ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー２階,0,0,0,0,1,5
13103,107,1076403,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ3ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー３階,0,0,0,0,1,5
13103,107,1076404,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ4ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー４階,0,0,0,0,1,5
13103,107,1076405,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ5ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー５階,0,0,0,0,1,5
13103,107,1076406,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ6ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー６階,0,0,0,0,1,5
13103,107,1076407,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ7ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー７階,0,0,0,0,1,5
13103,107,1076408,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ8ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー８階,0,0,0,0,1,5
13103,107,1076409,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ9ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー９階,0,0,0,0,1,5
13103,107,1076410,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ10ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー１０階,0,0,0,0,1,5
13103,107,1076411,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ11ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー１１階,0,0,0,0,1,5
13103,107,1076412,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ12ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー１２階,0,0,0,0,1,5
13103,107,1076413,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ13ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー１３階,0,0,0,0,1,5
13103,107,1076414,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ14ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー１４階,0,0,0,0,1,5
13103,107,1076415,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ15ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー１５階,0,0,0,0,1,5
13103,107,1076416,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ16ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー１６階,0,0,0,0,1,5
13103,107,1076417,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ17ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー１７階,0,0,0,0,1,5
13103,107,1076418,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ18ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー１８階,0,0,0,0,1,5
13103,107,1076419,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ19ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー１９階,0,0,0,0,1,5
13103,107,1076420,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ20ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー２０階,0,0,0,0,1,5
13103,107,1076421,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ21ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー２１階,0,0,0,0,1,5
13103,107,1076422,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ22ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー２２階,0,0,0,0,1,5
13103,107,1076423,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ23ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー２３階,0,0,0,0,1,5
13103,107,1076424,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ24ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー２４階,0,0,0,0,1,5
13103,107,1076425,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ25ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー２５階,0,0,0,0,1,5
13103,107,1076426,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ26ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー２６階,0,0,0,0,1,5
13103,107,1076427,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ27ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー２７階,0,0,0,0,1,5
13103,107,1076428,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ28ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー２８階,0,0,0,0,1,5
13103,107,1076429,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ29ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー２９階,0,0,0,0,1,5
13103,107,1076430,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ30ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー３０階,0,0,0,0,1,5
13103,107,1076431,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ31ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー３１階,0,0,0,0,1,5
13103,107,1076432,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ32ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー３２階,0,0,0,0,1,5
13103,107,1076433,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ33ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー３３階,0,0,0,0,1,5
13103,107,1076434,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ34ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー３４階,0,0,0,0,1,5
13103,107,1076435,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ35ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー３５階,0,0,0,0,1,5
13103,107,1076436,ﾄｳｷｮｳﾄ,ﾐﾅﾄｸ,ｱｶｻｶ2ﾁｮｳﾒ17ﾊﾞﾝ22ｺﾞｳ ｱｶｻｶﾄﾗｽﾄﾀﾜｰ36ｶｲ,東京都,港区,赤坂２丁目１７番２２号　赤坂トラストタワー３６階,0,0,0,0,1,5
23110,454,4540978,ｱｲﾁｹﾝ,ﾅｺﾞﾔｼﾅｶｶﾞﾜｸ,ｱｶﾎﾞｼ,愛知県,名古屋市中川区,赤星,0,0,1,0,1,5
23110,454,4540977,ｱｲﾁｹﾝ,ﾅｺﾞﾔｼﾅｶｶﾞﾜｸ,ｾﾝﾉﾝｼﾞ,愛知県,名古屋市中川区,千音寺,0,0,1,0,1,5
27213,598,5980076,ｵｵｻｶﾌ,ｲｽﾞﾐｻﾉｼ,ｶｲﾀﾁｮｳ,大阪府,泉佐野市,貝田町,0,0,1,0,1,2
40230,81916,8191643,ﾌｸｵｶｹﾝ,ｲﾄｼﾏｼ,ﾌｸﾖｼ,福岡県,糸島市,福吉,0,0,1,0,1,2
